2024-06-11 07:58:37 startup archives install
2024-06-11 07:58:37 install base-passwd:arm64 <none> 3.5.52build1
2024-06-11 07:58:37 status half-installed base-passwd:arm64 3.5.52build1
2024-06-11 07:58:37 status unpacked base-passwd:arm64 3.5.52build1
2024-06-11 07:58:37 configure base-passwd:arm64 3.5.52build1 3.5.52build1
2024-06-11 07:58:37 status half-configured base-passwd:arm64 3.5.52build1
2024-06-11 07:58:38 status installed base-passwd:arm64 3.5.52build1
2024-06-11 07:58:38 startup archives install
2024-06-11 07:58:38 install base-files:arm64 <none> 12ubuntu4
2024-06-11 07:58:38 status half-installed base-files:arm64 12ubuntu4
2024-06-11 07:58:38 status unpacked base-files:arm64 12ubuntu4
2024-06-11 07:58:38 configure base-files:arm64 12ubuntu4 12ubuntu4
2024-06-11 07:58:38 status half-configured base-files:arm64 12ubuntu4
2024-06-11 07:58:38 status installed base-files:arm64 12ubuntu4
2024-06-11 07:58:38 startup archives install
2024-06-11 07:58:38 upgrade dpkg 1.21.1ubuntu2 1.21.1ubuntu2
2024-06-11 07:58:38 status half-configured dpkg 1.21.1ubuntu2
2024-06-11 07:58:38 status unpacked dpkg 1.21.1ubuntu2
2024-06-11 07:58:38 status half-installed dpkg 1.21.1ubuntu2
2024-06-11 07:58:39 status unpacked dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:39 configure dpkg:arm64 1.21.1ubuntu2 1.21.1ubuntu2
2024-06-11 07:58:39 status half-configured dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:39 status installed dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:39 startup archives install
2024-06-11 07:58:39 install libc6:arm64 <none> 2.35-0ubuntu3
2024-06-11 07:58:39 status half-installed libc6:arm64 2.35-0ubuntu3
2024-06-11 07:58:40 status unpacked libc6:arm64 2.35-0ubuntu3
2024-06-11 07:58:40 configure libc6:arm64 2.35-0ubuntu3 2.35-0ubuntu3
2024-06-11 07:58:40 status half-configured libc6:arm64 2.35-0ubuntu3
2024-06-11 07:58:40 status installed libc6:arm64 2.35-0ubuntu3
2024-06-11 07:58:40 startup archives install
2024-06-11 07:58:40 install perl-base:arm64 <none> 5.34.0-3ubuntu1
2024-06-11 07:58:40 status half-installed perl-base:arm64 5.34.0-3ubuntu1
2024-06-11 07:58:41 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2024-06-11 07:58:41 configure perl-base:arm64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2024-06-11 07:58:41 status half-configured perl-base:arm64 5.34.0-3ubuntu1
2024-06-11 07:58:41 status installed perl-base:arm64 5.34.0-3ubuntu1
2024-06-11 07:58:41 startup archives install
2024-06-11 07:58:41 install mawk:arm64 <none> 1.3.4.20200120-3
2024-06-11 07:58:41 status half-installed mawk:arm64 1.3.4.20200120-3
2024-06-11 07:58:41 status unpacked mawk:arm64 1.3.4.20200120-3
2024-06-11 07:58:41 configure mawk:arm64 1.3.4.20200120-3 1.3.4.20200120-3
2024-06-11 07:58:41 status half-configured mawk:arm64 1.3.4.20200120-3
2024-06-11 07:58:41 status installed mawk:arm64 1.3.4.20200120-3
2024-06-11 07:58:41 startup archives install
2024-06-11 07:58:41 install debconf:all <none> 1.5.79ubuntu1
2024-06-11 07:58:41 status half-installed debconf:all 1.5.79ubuntu1
2024-06-11 07:58:41 status unpacked debconf:all 1.5.79ubuntu1
2024-06-11 07:58:41 configure debconf:all 1.5.79ubuntu1 1.5.79ubuntu1
2024-06-11 07:58:41 status half-configured debconf:all 1.5.79ubuntu1
2024-06-11 07:58:41 status installed debconf:all 1.5.79ubuntu1
2024-06-11 07:58:41 startup archives unpack
2024-06-11 07:58:41 upgrade base-files:arm64 12ubuntu4 12ubuntu4
2024-06-11 07:58:41 status half-configured base-files:arm64 12ubuntu4
2024-06-11 07:58:42 status unpacked base-files:arm64 12ubuntu4
2024-06-11 07:58:42 status half-installed base-files:arm64 12ubuntu4
2024-06-11 07:58:42 status unpacked base-files:arm64 12ubuntu4
2024-06-11 07:58:42 upgrade base-passwd:arm64 3.5.52build1 3.5.52build1
2024-06-11 07:58:42 status half-configured base-passwd:arm64 3.5.52build1
2024-06-11 07:58:42 status unpacked base-passwd:arm64 3.5.52build1
2024-06-11 07:58:42 status half-installed base-passwd:arm64 3.5.52build1
2024-06-11 07:58:42 status unpacked base-passwd:arm64 3.5.52build1
2024-06-11 07:58:42 install bash:arm64 <none> 5.1-6ubuntu1
2024-06-11 07:58:42 status half-installed bash:arm64 5.1-6ubuntu1
2024-06-11 07:58:42 status unpacked bash:arm64 5.1-6ubuntu1
2024-06-11 07:58:42 install bsdutils:arm64 <none> 1:2.37.2-4ubuntu3
2024-06-11 07:58:42 status half-installed bsdutils:arm64 1:2.37.2-4ubuntu3
2024-06-11 07:58:42 status unpacked bsdutils:arm64 1:2.37.2-4ubuntu3
2024-06-11 07:58:42 install coreutils:arm64 <none> 8.32-4.1ubuntu1
2024-06-11 07:58:42 status half-installed coreutils:arm64 8.32-4.1ubuntu1
2024-06-11 07:58:42 status unpacked coreutils:arm64 8.32-4.1ubuntu1
2024-06-11 07:58:42 install dash:arm64 <none> 0.5.11+git20210903+057cd650a4ed-3build1
2024-06-11 07:58:42 status half-installed dash:arm64 0.5.11+git20210903+057cd650a4ed-3build1
2024-06-11 07:58:42 status unpacked dash:arm64 0.5.11+git20210903+057cd650a4ed-3build1
2024-06-11 07:58:42 upgrade debconf:all 1.5.79ubuntu1 1.5.79ubuntu1
2024-06-11 07:58:42 status half-configured debconf:all 1.5.79ubuntu1
2024-06-11 07:58:42 status unpacked debconf:all 1.5.79ubuntu1
2024-06-11 07:58:42 status half-installed debconf:all 1.5.79ubuntu1
2024-06-11 07:58:42 status unpacked debconf:all 1.5.79ubuntu1
2024-06-11 07:58:42 install debianutils:arm64 <none> 5.5-1ubuntu2
2024-06-11 07:58:42 status half-installed debianutils:arm64 5.5-1ubuntu2
2024-06-11 07:58:42 status unpacked debianutils:arm64 5.5-1ubuntu2
2024-06-11 07:58:42 install diffutils:arm64 <none> 1:3.8-0ubuntu2
2024-06-11 07:58:42 status half-installed diffutils:arm64 1:3.8-0ubuntu2
2024-06-11 07:58:42 status unpacked diffutils:arm64 1:3.8-0ubuntu2
2024-06-11 07:58:42 upgrade dpkg:arm64 1.21.1ubuntu2 1.21.1ubuntu2
2024-06-11 07:58:42 status half-configured dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:42 status unpacked dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:42 status half-installed dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:43 status unpacked dpkg:arm64 1.21.1ubuntu2
2024-06-11 07:58:43 install e2fsprogs:arm64 <none> 1.46.5-2ubuntu1
2024-06-11 07:58:43 status half-installed e2fsprogs:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:43 status unpacked e2fsprogs:arm64 1.46.5-2ubuntu1
2024-06-11 07:58:43 install findutils:arm64 <none> 4.8.0-1ubuntu3
2024-06-11 07:58:43 status half-installed findutils:arm64 4.8.0-1ubuntu3
2024-06-11 07:58:43 status unpacked findutils:arm64 4.8.0-1ubuntu3
2024-06-11 07:58:43 install gcc-12-base:arm64 <none> 12-20220319-1ubuntu1
2024-06-11 07:58:43 status half-installed gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:43 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-11 07:58:43 install grep:arm64 <none> 3.7-1build1
2024-06-11 07:58:43 status half-installed grep:arm64 3.7-1build1
2024-06-11 07:58:43 status unpacked grep:arm64 3.7-1build1
